Razas de Gatos
Abisinio
Americano de pelo duro
Asiático
Azul ruso
Balinés
Bengalí
Birmano
Bobtail japonés de pelo corto
Bobtail japonés de pelo largo
Bombay
Bosque de Noruega
Bosque de Siberia
Británico de pelo corto
Burmés
Burmilla
Chinchilla
Cornish rex
Cymric
Devon Rex
Exótico de pelo corto
Fold escocés
Khao Manee
Korat
Laperm
Maine coon
Manx
Mau egipcio
Mist australiano
Munchkin
Ocigato
Oriental de pelo corto
Oriental de pelo largo
Persa de pelo largo
Pixie bob
Ragdoll
Savannah
Selkirk rex
Siamés
Singapura
Snowshoe
Somalí
Sphynx
Tiffanie
Tonquinés
Van turco
