Razas de Perros
Affenpinscher
Afgano
Akita japonés
Basenji
Basset Azul de Gascuña
Basset Grifón vandeano (grande)
Basset Grifón vandeano (pequeño)
Basset Hound
Basset leonado de Bretaña
Beagle
Beauceron
Bedlington Terrier
Bergamasco
Bichón Boloñés
Bichón Frisé
Bloodhound
Bobtail (antiguo perro pastor inglés)
Border Collie
Border Terrier
Borzoi
Boston Terrier
Bóxer
Boyero de Berna
Boyero de Flandes
Bracco italiano
Braco alemán de pelo corto
Braco alemán de pelo duro
Braco de Weimar (de pelo corto y suave)
Braco húngaro
Braco húngaro de pelo duro
Bretón
Buhund noruego
Bull Terrier
Bull Terrier miniatura
Bulldog
Bulldog francés
Bullmastiff
Cairn Terrier
Caniche enano
Caniche grande
Caniche toy
Carlino
Cavalier King Charles Spaniel
Cazador de alces noruego (elkhound noruego)
Chihuahua (de pelo largo)
Chihuahua (de pelo suave)
Chin japonés
Chow chow (de pelo duro)
Chow Chow (de pelo suave)
Clumber Spaniel
Cobrador de Nueva Escocia
Cocker Spaniel americano
Cocker Spaniel inglés
Collie barbudo
Collie de pelo corto
Corgi galés de Cardigan (de pelo medio/largo)
Corgi galés de Pembroke
Cotón de Tulear
Crestado chino
Crestado rodesiano (rhodesian ridgeback)
Dálmata
Dandie Dinmont Terrier
Dóberman
Dogo de Burdeos
Field Spaniel
Fox Terrier de pelo duro
Fox Terrier de pelo liso
Foxhound
Galgo
Galgo italiano
Golden Retriever
Gran azul de Gascuña
Gran danés
Grifón de Bruselas (de pelo corto y duro)
Grifón de Bruselas (pelaje corto y áspero)
Habanero
Hamilton Stovare
Hovawart
Husky siberiano
Keeshond
Kerry blue Terrier
King Charles Spaniel
Komondor
Kuvasz húngaro
Labrador Retriever
Laekenois
Lakeland Terrier
Lancashire Heeler
Lebrel escocés
Leonberger
Lhasa Apso
Lobero irlandés
Lowchen (pequeño perro león)
Malamute de Alaska
Maltés
Manchester Terrier
Mastín inglés o mastiff
Mastín napolitano
Mastín tibetano
Munsterlander (grande)
Otterhound
Papillón
Parson jack russell terrier (de pelo corto/suave)
Pastor alemán
Pastor australiano
Pastor belga Groenendael
Pastor belga Malinois
Pastor belga Tervueren
Pastor de Anatolia
Pastor de Brie o Briard
Pastor de Los Pirineos
Pastor de Maremma
Pastor de Shetland (Shetland sheepdog)
Pastor ganadero australiano
Pastor lapón de Suecia
Pastor polaco de las llanuras
Perro de agua español
Perro de agua irlandés
Perro de agua portugués
Perro de Canaán
Perro de montaña de los Pirineos
Perro del faraón
Perro finlandés de Laponia
Perro Serra da Estrela
Pinscher alemán
Pinscher miniatura
Podenco ibicenco (de pelo corto y liso)
Pointer
Pomerania
Puli húngaro
Retriever de Chesapeake
Retriever de pelo liso
Retriever de pelo rizado
Rottweiler
Rough Collie o Pastor Escocés
Sabueso bávaro de montaña
Sabueso italiano (de pelo corto y suave)
Saluki (galgo persa)
Samoyedo
San Bernardo (de pelo medio/largo)
Schipperke
Schnauzer estándar
Schnauzer gigante
Schnauzer miniatura
Sealyham Terrier
Setter escocés
Setter inglés
Setter irlandés
Setter irlandés rojo y blanco
Shar Pei
Shiba Inu japonés
Shih Tzu
Silky Terrier australiano
Skye Terrier
Sloughi (galgo árabe)
Soft Coated Wheaten Terrier
Spaniel holandés
Spaniel tibetano
Spinone italiano
Spitz alemán mediano
Spitz alemán pequeño
Spitz finlandés
Spitz japonés
Springer Spaniel galés
Springer Spaniel inglés
Staffordshire Bull Terrier
Sussex Spaniel
Teckel (pelo largo)
Teckel de pelo duro
Teckel de pelo liso
Teckel miniatura de pelo duro
Teckel miniatura de pelo largo
Teckel miniatura de pelo liso
Terranova (Newfoundland)
Terrier australiano
Terrier Checo
Terrier de Airedale
Terrier de Norfolk (Norfolk Terrier)
Terrier de Norwich (Norwich terrier)
Terrier escocés (scottish terrier)
Terrier galés
Terrier irlandés
Terrier tibetano
Toy Terrier inglés (negro y fuego)
Vallhund sueco
West Highland White Terrier
Whippet
Xoloitzcuintle (mediano)
Yorkshire Terrier
